#D Playstation 3 (using Altivec)
  1   1 3.906e+07  10.500  10.580   0.440   1.050 2.000000e+10 1.905e+09
  1   2 1.953e+07   7.010  13.200   0.400   1.940 2.000000e+10 2.853e+09
  1   3 1.302e+07   7.540  13.140   0.380   1.793 2.000000e+10 2.653e+09
  1   4 9.766e+06   7.200  13.620   0.370   1.943 2.000000e+10 2.778e+09
  1   5 7.812e+06   7.170  13.670   0.340   1.954 2.000000e+10 2.789e+09
  1   6 6.510e+06   7.010  13.590   0.320   1.984 2.000000e+10 2.853e+09
  1   7 5.580e+06   6.990  13.530   0.330   1.983 2.000000e+10 2.861e+09
  1   8 4.883e+06   6.980  13.490   0.320   1.979 2.000000e+10 2.865e+09
  2   1 1.953e+07   8.110  14.730   0.530   1.882 2.000000e+10 2.466e+09
  2   2 9.766e+06   7.090  13.570   0.420   1.973 2.000000e+10 2.821e+09
  2   3 6.510e+06   7.040  13.590   0.410   1.989 2.000000e+10 2.841e+09
  2   4 4.883e+06   6.990  13.490   0.370   1.983 2.000000e+10 2.861e+09
  2   5 3.906e+06   6.970  13.480   0.360   1.986 2.000000e+10 2.869e+09
  2   6 3.255e+06   6.990  13.530   0.370   1.989 2.000000e+10 2.861e+09
  2   7 2.790e+06   6.890  13.390   0.350   1.994 2.000000e+10 2.903e+09
  2   8 2.441e+06   6.880  13.380   0.350   1.996 2.000000e+10 2.907e+09
  3   1 1.302e+07   8.220  13.720   0.510   1.731 2.000000e+10 2.433e+09
  3   2 6.510e+06   7.050  13.480   0.450   1.976 2.000000e+10 2.837e+09
  3   3 4.340e+06   6.990  13.460   0.400   1.983 2.000000e+10 2.861e+09
  3   4 3.255e+06   6.990  13.550   0.380   1.993 2.000000e+10 2.861e+09
  3   5 2.604e+06   6.920  13.430   0.360   1.993 1.999999e+10 2.890e+09
  3   6 2.170e+06   6.940  13.460   0.360   1.991 1.999999e+10 2.882e+09
  3   7 1.860e+06   6.920  13.440   0.360   1.994 2.000000e+10 2.890e+09
  3   8 1.628e+06   6.890  13.380   0.350   1.993 2.000000e+10 2.903e+09
  4   1 9.766e+06   7.620  14.550   0.590   1.987 2.000000e+10 2.625e+09
  4   2 4.883e+06   7.010  13.460   0.440   1.983 2.000000e+10 2.853e+09
  4   3 3.255e+06   7.040  13.580   0.410   1.987 2.000000e+10 2.841e+09
  4   4 2.441e+06   6.960  13.470   0.390   1.991 2.000000e+10 2.874e+09
  4   5 1.953e+06   6.920  13.410   0.370   1.991 2.000000e+10 2.890e+09
  4   6 1.628e+06   6.950  13.490   0.370   1.994 2.000000e+10 2.878e+09
  4   7 1.395e+06   6.890  13.350   0.370   1.991 2.000000e+10 2.903e+09
  4   8 1.221e+06   6.940  13.490   0.360   1.996 2.000000e+10 2.882e+09
  5   1 7.812e+06   7.680  14.000   0.560   1.896 2.000000e+10 2.604e+09
  5   2 3.906e+06   7.070  13.460   0.460   1.969 2.000000e+10 2.829e+09
  5   3 2.604e+06   6.990  13.430   0.420   1.981 1.999999e+10 2.861e+09
  5   4 1.953e+06   7.010  13.550   0.390   1.989 2.000000e+10 2.853e+09
  5   5 1.562e+06   6.920  13.430   0.380   1.996 2.000000e+10 2.890e+09
  5   6 1.302e+06   6.920  13.410   0.380   1.993 1.999999e+10 2.890e+09
  5   7 1.116e+06   6.920  13.420   0.370   1.993 1.999999e+10 2.890e+09
  5   8 9.766e+05   6.910  13.360   0.370   1.987 1.999999e+10 2.894e+09
  6   1 6.510e+06   7.350  13.970   0.630   1.986 2.000000e+10 2.721e+09
  6   2 3.255e+06   7.040  13.470   0.470   1.980 2.000000e+10 2.841e+09
  6   3 2.170e+06   7.050  13.600   0.420   1.989 1.999999e+10 2.837e+09
  6   4 1.628e+06   6.970  13.480   0.400   1.991 2.000000e+10 2.869e+09
  6   5 1.302e+06   6.990  13.540   0.390   1.993 1.999999e+10 2.861e+09
  6   6 1.085e+06   6.970  13.470   0.380   1.987 1.999999e+10 2.869e+09
  6   7 9.301e+05   6.890  13.350   0.380   1.993 1.999999e+10 2.903e+09
  6   8 8.138e+05   6.920  13.420   0.370   1.993 2.000000e+10 2.890e+09
  7   1 5.580e+06   7.530  14.030   0.580   1.940 2.000000e+10 2.656e+09
  7   2 2.790e+06   7.000  13.370   0.460   1.976 2.000000e+10 2.857e+09
  7   3 1.860e+06   7.000  13.520   0.420   1.991 2.000000e+10 2.857e+09
  7   4 1.395e+06   7.060  13.590   0.410   1.983 2.000000e+10 2.833e+09
  7   5 1.116e+06   6.950  13.460   0.390   1.993 1.999999e+10 2.878e+09
  7   6 9.301e+05   6.950  13.420   0.380   1.986 1.999999e+10 2.878e+09
  7   7 7.972e+05   6.880  13.300   0.380   1.988 1.999998e+10 2.907e+09
  7   8 6.975e+05   6.920  13.390   0.380   1.990 1.999998e+10 2.890e+09
  8   1 4.883e+06   7.440  14.150   0.620   1.985 2.000000e+10 2.688e+09
  8   2 2.441e+06   6.990  13.400   0.480   1.986 2.000000e+10 2.861e+09
  8   3 1.628e+06   6.990  13.460   0.430   1.987 2.000000e+10 2.861e+09
  8   4 1.221e+06   7.020  13.550   0.410   1.989 2.000000e+10 2.849e+09
  8   5 9.766e+05   6.920  13.370   0.390   1.988 1.999999e+10 2.890e+09
  8   6 8.138e+05   6.950  13.400   0.390   1.984 2.000000e+10 2.878e+09
  8   7 6.975e+05   6.930  13.360   0.390   1.984 1.999998e+10 2.886e+09
  8   8 6.104e+05   6.920  13.390   0.380   1.990 1.999998e+10 2.890e+09
